Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-03-30 18:32:45,9.104546,0.066464,0.600427,135.59935
2,2025-03-30 18:32:46,8.987995,0.066802,0.600061,134.405106
3,2025-03-30 18:32:47,8.972431,0.06715,0.602484,133.848358
4,2025-03-30 18:32:48,8.961233,0.067274,0.602418,133.760986
5,2025-03-30 18:32:49,8.951875,0.067254,0.60171,133.486115
6,2025-03-30 18:32:50,8.944855,0.067274,0.602571,132.90921
7,2025-03-30 18:32:51,8.938306,0.067091,0.60162,132.624908
8,2025-03-30 18:32:52,8.933031,0.067345,0.602209,132.529587
9,2025-03-30 18:32:53,8.926408,0.067496,0.60106,132.60405
10,2025-03-30 18:32:54,8.921144,0.067322,0.600397,132.303284
11,2025-03-30 18:32:56,8.91662,0.067607,0.601015,131.942062
12,2025-03-30 18:32:57,8.913205,0.06754,0.601708,132.228012
13,2025-03-30 18:32:58,8.908452,0.067509,0.602791,131.693909
14,2025-03-30 18:32:59,8.905172,0.067569,0.601991,131.815338
15,2025-03-30 18:33:00,8.899689,0.06748,0.599787,131.894073
16,2025-03-30 18:33:01,8.896597,0.067444,0.59981,131.851608
17,2025-03-30 18:33:02,8.893797,0.067562,0.599954,131.975723
18,2025-03-30 18:33:03,8.890507,0.067488,0.600777,131.412689
19,2025-03-30 18:33:04,8.887039,0.067678,0.602228,131.267502
20,2025-03-30 18:33:05,8.883801,0.067773,0.603,131.314835
21,2025-03-30 18:33:06,8.882109,0.067941,0.604494,130.617798
22,2025-03-30 18:33:07,8.878662,0.067579,0.60039,131.453491
23,2025-03-30 18:33:08,8.876677,0.067721,0.603038,130.572144
24,2025-03-30 18:33:10,8.873449,0.067787,0.600736,130.711975
25,2025-03-30 18:33:11,8.869166,0.067549,0.600319,130.58812
26,2025-03-30 18:33:12,8.867976,0.067751,0.600696,131.198746
27,2025-03-30 18:33:13,8.864058,0.067896,0.601074,130.800644
28,2025-03-30 18:33:14,8.862576,0.067675,0.600339,130.736694
29,2025-03-30 18:33:15,8.859139,0.067877,0.600801,130.960129
30,2025-03-30 18:33:16,8.857008,0.067917,0.602165,130.268555
31,2025-03-30 18:33:17,8.855097,0.067959,0.601351,130.394806
32,2025-03-30 18:33:18,8.852486,0.067856,0.601388,130.434753
33,2025-03-30 18:33:21,8.845779,0.06806,0.600903,130.120102
34,2025-03-30 18:33:22,8.844641,0.067931,0.602278,130.420853
35,2025-03-30 18:33:23,8.842081,0.068141,0.600589,130.195709
36,2025-03-30 18:33:24,8.839763,0.068089,0.600818,130.25
37,2025-03-30 18:33:25,8.837622,0.067938,0.601017,130.362122
38,2025-03-30 18:33:26,8.835302,0.068064,0.602466,130.092133
39,2025-03-30 18:33:27,8.834539,0.068063,0.600682,129.793961
40,2025-03-30 18:33:28,8.832325,0.06806,0.601807,129.922653
41,2025-03-30 18:33:29,8.829568,0.068294,0.603742,129.65184
42,2025-03-30 18:33:31,8.827865,0.068217,0.602711,129.088409
43,2025-03-30 18:33:32,8.825369,0.068194,0.600819,129.667511
44,2025-03-30 18:33:33,8.823081,0.068158,0.601045,129.756882
45,2025-03-30 18:33:34,8.822507,0.068072,0.601027,129.136169
46,2025-03-30 18:33:35,8.818986,0.068273,0.600623,129.540405
47,2025-03-30 18:33:36,8.817231,0.068155,0.600874,129.500626
48,2025-03-30 18:33:37,8.816699,0.068143,0.600962,129.737411
49,2025-03-30 18:33:38,8.813169,0.068337,0.600744,129.490601
50,2025-03-30 18:33:39,8.8132,0.068155,0.601409,129.479584
51,2025-03-30 18:33:40,8.810996,0.068084,0.600148,129.06282
52,2025-03-30 18:33:41,8.80804,0.068306,0.600979,129.280579
53,2025-03-30 18:33:42,8.807026,0.068343,0.601671,128.666
54,2025-03-30 18:33:44,8.804164,0.068563,0.602123,128.826736
55,2025-03-30 18:33:45,8.802357,0.068386,0.600675,128.511017
56,2025-03-30 18:33:46,8.800351,0.068162,0.600243,129.004181
57,2025-03-30 18:33:47,8.798545,0.068193,0.600165,128.990433
58,2025-03-30 18:33:48,8.796926,0.068139,0.602022,128.598099
59,2025-03-30 18:33:49,8.796518,0.068425,0.599303,129.036575
60,2025-03-30 18:33:50,8.793447,0.068421,0.600699,128.788574
61,2025-03-30 18:33:51,8.792862,0.068399,0.600808,128.500397
62,2025-03-30 18:33:52,8.790407,0.068219,0.601799,128.577469
63,2025-03-30 18:33:53,8.78954,0.068323,0.602143,128.448776
64,2025-03-30 18:33:54,8.787869,0.068433,0.601344,128.383682
65,2025-03-30 18:33:55,8.785299,0.068432,0.602045,127.785477
66,2025-03-30 18:33:57,8.785268,0.068457,0.600425,128.565842
67,2025-03-30 18:33:58,8.782855,0.068496,0.600465,128.878815
68,2025-03-30 18:33:59,8.780849,0.068382,0.60214,128.293594
