Index,Timestamp,Voltage [V],Current [A],Power [W],Resistance [Ohm]
1,2025-04-01 21:51:04,8.665771,0.069822,0.606222,135.043259
2,2025-04-01 21:51:06,9.196801,0.065228,0.603994,140.626831
3,2025-04-01 21:51:07,9.224847,0.065015,0.600746,141.740234
4,2025-04-01 21:51:08,9.235292,0.065129,0.601892,141.519562
5,2025-04-01 21:51:09,9.24369,0.064999,0.601363,141.868149
6,2025-04-01 21:51:10,9.247065,0.064951,0.600309,142.384399
7,2025-04-01 21:51:11,9.247598,0.065194,0.600497,142.250198
8,2025-04-01 21:51:12,9.249509,0.06512,0.601334,142.62059
9,2025-04-01 21:51:13,9.2493,0.064959,0.602087,142.887741
10,2025-04-01 21:51:14,9.248391,0.064955,0.60132,142.008926
11,2025-04-01 21:51:16,9.249435,0.065027,0.601168,142.804092
12,2025-04-01 21:51:17,9.248078,0.064893,0.600775,142.554413
13,2025-04-01 21:51:18,9.249551,0.065115,0.601438,142.011002
14,2025-04-01 21:51:19,9.248882,0.064944,0.600234,142.180771
15,2025-04-01 21:51:20,9.248266,0.065148,0.603081,142.149521
16,2025-04-01 21:51:21,9.246501,0.064971,0.600796,142.12355
17,2025-04-01 21:51:22,9.24602,0.064955,0.600475,142.421982
18,2025-04-01 21:51:23,9.244537,0.064882,0.600588,142.366913
19,2025-04-01 21:51:25,9.244599,0.064993,0.600752,142.587021
20,2025-04-01 21:51:26,9.243367,0.065055,0.600786,142.189438
21,2025-04-01 21:51:27,9.242458,0.064817,0.599541,141.707153
22,2025-04-01 21:51:28,9.240641,0.065249,0.601441,142.129929
23,2025-04-01 21:51:29,9.240358,0.064864,0.602323,141.770508
24,2025-04-01 21:51:30,9.240088,0.064981,0.600706,141.882919
25,2025-04-01 21:51:31,9.23898,0.065037,0.601706,141.850616
26,2025-04-01 21:51:32,9.237894,0.065274,0.600233,142.278091
27,2025-04-01 21:51:33,9.235439,0.064927,0.599246,142.061066
28,2025-04-01 21:51:34,9.23405,0.065257,0.598141,141.831833
29,2025-04-01 21:51:36,9.232848,0.065188,0.60105,142.107239
30,2025-04-01 21:51:37,9.232943,0.06537,0.600174,142.213348
31,2025-04-01 21:51:38,9.232869,0.065101,0.600479,141.617645
32,2025-04-01 21:51:39,9.231637,0.06505,0.598868,142.026871
33,2025-04-01 21:51:40,9.230425,0.065008,0.599461,141.853226
34,2025-04-01 21:51:41,9.229088,0.065122,0.601506,141.361694
35,2025-04-01 21:51:42,9.228305,0.064911,0.600416,141.45723
36,2025-04-01 21:51:43,9.226654,0.065391,0.603508,141.506058
37,2025-04-01 21:51:44,9.224586,0.065083,0.59905,141.647827
38,2025-04-01 21:51:46,9.224669,0.065053,0.600796,141.376694
39,2025-04-01 21:51:47,9.223437,0.065174,0.600433,141.854187
40,2025-04-01 21:51:48,9.222466,0.06532,0.600586,141.388016
41,2025-04-01 21:51:49,9.220554,0.065136,0.600888,141.845123
42,2025-04-01 21:51:50,9.219666,0.065083,0.60039,141.125534
43,2025-04-01 21:51:51,9.219707,0.065284,0.601961,141.46228
44,2025-04-01 21:51:52,9.21882,0.065028,0.601534,141.845673
45,2025-04-01 21:51:53,9.215415,0.065055,0.600659,141.692505
46,2025-04-01 21:51:55,9.215801,0.065253,0.601091,141.227615
47,2025-04-01 21:51:56,9.213608,0.065371,0.600677,141.535568
48,2025-04-01 21:51:57,9.213034,0.065409,0.600183,141.136261
49,2025-04-01 21:51:58,9.211581,0.065188,0.602699,140.819962
50,2025-04-01 21:51:59,9.211644,0.065591,0.602893,141.427826
51,2025-04-01 21:52:00,9.210119,0.065192,0.602181,140.825333
52,2025-04-01 21:52:01,9.209126,0.065144,0.601997,140.951553
53,2025-04-01 21:52:02,9.207926,0.065271,0.598759,141.407074
54,2025-04-01 21:52:03,9.205544,0.065231,0.59984,141.15538
55,2025-04-01 21:52:05,9.205596,0.065385,0.600457,140.723038
56,2025-04-01 21:52:06,9.204165,0.065166,0.601628,140.420807
57,2025-04-01 21:52:07,9.202055,0.065184,0.602572,140.714508
58,2025-04-01 21:52:08,9.201502,0.065266,0.601091,140.62532
59,2025-04-01 21:52:09,9.201178,0.065539,0.602077,140.724731
60,2025-04-01 21:52:10,9.200374,0.065293,0.601107,140.756348
61,2025-04-01 21:52:11,9.198107,0.06537,0.601288,140.651321
62,2025-04-01 21:52:12,9.197626,0.065291,0.598849,141.049881
63,2025-04-01 21:52:13,9.196717,0.065271,0.599166,140.785904
64,2025-04-01 21:52:15,9.194879,0.065311,0.601556,141.318756
65,2025-04-01 21:52:16,9.193322,0.065315,0.600859,140.667404
66,2025-04-01 21:52:17,9.193145,0.065164,0.599021,140.935684
67,2025-04-01 21:52:18,9.192122,0.065418,0.601244,141.002487
68,2025-04-01 21:52:19,9.191536,0.065482,0.601,140.204224
69,2025-04-01 21:52:20,9.189604,0.06532,0.602492,140.171616
70,2025-04-01 21:52:21,9.187776,0.065423,0.602083,140.58046
71,2025-04-01 21:52:22,9.186596,0.065346,0.600902,140.418747
72,2025-04-01 21:52:24,9.185969,0.065271,0.600818,140.492157
73,2025-04-01 21:52:25,9.185122,0.065319,0.599857,140.548645
